DDT Code,DDT Name,IW Code,LOC Code,IW Code printed on Ticket,Coolant,,Oil Filter,,Air Filter,,Brake Fluid,,Spark Plug,,CLUTCH - BEARING,,CLUTCH - COVER ASSY,,CLUTCH - CYLINDER ASSY,,CLUTCH - DISC,,CLUTCH - SET,,Clutch Kit,,Brake Pad,,Brake Shoe,,BEARING -Wheel,,HEADLAMP,,TAIL LIGHT,, AIR DRYING SEALER,,MASKING TAPE,,SEALENT,,RUST SMASH,,Total Tickets
KA01,Nema Auto Spares,WKA0120110,KOL,KOL-WKA0120110,7,0120110CO-111812-7,23,0120110OF-11188-23,8,0120110AF-111810-8,3,0120110BF-111811-3,25,0120110SP-111811-25,3,0120110CB-111810-3,3,0120110COA-11186-3,0,-,3,0120110CD-11186-3,4,0120110CS-111812-4,1,0120110CK-111810-1,5,0120110BP-11187-5,4,0120110BS-111811-4,11,0120110WB-111810-11,2,0120110HL-11189-2,3,0120110TL-111811-3,1,0120110ADS-111811-1,1,0120110MT-111812-1,1,0120110SEA-111811-1,0,-,18
KA01,Nema Auto Spares,WKA0114965,RAJ,RAJ-WKA0114965,7,0114965CO-111813-7,23,0114965OF-11189-23,8,0114965AF-111811-8,0,-,25,0114965SP-111812-25,0,-,0,-,0,-,0,-,4,0114965CS-111813-4,0,-,5,0114965BP-11188-5,4,0114965BS-111812-4,11,0114965WB-111811-11,2,0114965HL-111810-2,3,0114965TL-111812-3,1,0114965ADS-111812-1,1,0114965MT-111813-1,1,0114965SEA-111812-1,1,0114965RS-111812-1,14
KA01,Nema Auto Spares,WKA0110022,RAJ,RAJ-WKA0110022,0,-,0,-,0,-,3,0110022BF-111812-3,25,0110022SP-111813-25,3,0110022CB-111811-3,3,0110022COA-11187-3,0,-,3,0110022CD-11187-3,4,0110022CS-111814-4,0,-,5,0110022BP-11189-5,4,0110022BS-111813-4,11,0110022WB-111812-11,2,0110022HL-111811-2,3,0110022TL-111813-3,1,0110022ADS-111813-1,1,0110022MT-111814-1,1,0110022SEA-111813-1,1,0110022RS-111813-1,15
KA01,Nema Auto Spares,WKA0114961,RAJ,RAJ-WKA0114961,7,0114961CO-111814-7,0,-,8,0114961AF-111812-8,3,0114961BF-111813-3,25,0114961SP-111814-25,0,-,0,-,0,-,0,-,4,0114961CS-111815-4,0,-,0,-,4,0114961BS-111814-4,11,0114961WB-111813-11,0,-,3,0114961TL-111814-3,1,0114961ADS-111814-1,1,0114961MT-111815-1,1,0114961SEA-111814-1,1,0114961RS-111814-1,12
KA01,Nema Auto Spares,WKA0120862,KAM,KAM-WKA0120862,7,0120862CO-111815-7,23,0120862OF-111810-23,8,0120862AF-111813-8,3,0120862BF-111814-3,25,0120862SP-111815-25,0,-,0,-,0,-,0,-,4,0120862CS-111816-4,1,0120862CK-111811-1,5,0120862BP-111810-5,4,0120862BS-111815-4,11,0120862WB-111814-11,0,-,3,0120862TL-111815-3,1,0120862ADS-111815-1,1,0120862MT-111816-1,1,0120862SEA-111815-1,0,-,14
KA01,Nema Auto Spares,WKA0114976,RAJ,RAJ-WKA0114976,7,0114976CO-111816-7,23,0114976OF-111811-23,8,0114976AF-111814-8,3,0114976BF-111815-3,25,0114976SP-111816-25,3,0114976CB-111812-3,3,0114976COA-11188-3,0,-,3,0114976CD-11188-3,4,0114976CS-111817-4,0,-,5,0114976BP-111811-5,4,0114976BS-111816-4,11,0114976WB-111815-11,2,0114976HL-111812-2,3,0114976TL-111816-3,0,-,1,0114976MT-111817-1,1,0114976SEA-111816-1,1,0114976RS-111815-1,17
KA01,Nema Auto Spares,WKA0160281,JHL,JHL-WKA0160281,5,0160281CO-111817-5,11,0160281OF-111812-11,4,0160281AF-111815-4,0,-,11,0160281SP-111817-11,0,-,0,-,0,-,0,-,2,0160281CS-111818-2,1,0160281CK-111812-1,0,-,2,0160281BS-111817-2,6,0160281WB-111816-6,2,0160281HL-111813-2,0,-,1,0160281ADS-111816-1,1,0160281MT-111818-1,1,0160281SEA-111817-1,1,0160281RS-111816-1,13
KA01,Nema Auto Spares,WKA0115714,JHL,JHL-WKA0115714,7,0115714CO-111818-7,23,0115714OF-111813-23,8,0115714AF-111816-8,3,0115714BF-111816-3,25,0115714SP-111818-25,3,0115714CB-111813-3,3,0115714COA-11189-3,0,-,3,0115714CD-11189-3,4,0115714CS-111819-4,0,-,5,0115714BP-111812-5,4,0115714BS-111818-4,11,0115714WB-111817-11,2,0115714HL-111814-2,3,0115714TL-111817-3,1,0115714ADS-111817-1,1,0115714MT-111819-1,1,0115714SEA-111818-1,1,0115714RS-111817-1,18
KA01,Nema Auto Spares,WKA0157713,KOL,KOL-WKA0157713,5,0157713CO-111819-5,11,0157713OF-111814-11,4,0157713AF-111817-4,0,-,11,0157713SP-111819-11,2,0157713CB-111814-2,0,-,0,-,0,-,2,0157713CS-111820-2,1,0157713CK-111813-1,3,0157713BP-111813-3,2,0157713BS-111819-2,6,0157713WB-111818-6,2,0157713HL-111815-2,0,-,1,0157713ADS-111818-1,1,0157713MT-111820-1,1,0157713SEA-111819-1,1,0157713RS-111818-1,15
KA01,Nema Auto Spares,WKA0125849,JHL,JHL-WKA0125849,5,0125849CO-111820-5,11,0125849OF-111815-11,4,0125849AF-111818-4,0,-,11,0125849SP-111820-11,2,0125849CB-111815-2,0,-,0,-,0,-,2,0125849CS-111821-2,1,0125849CK-111814-1,0,-,2,0125849BS-111820-2,6,0125849WB-111819-6,2,0125849HL-111816-2,0,-,1,0125849ADS-111819-1,1,0125849MT-111821-1,0,-,1,0125849RS-111819-1,13
