DDT Code,DDT Name,IW Code
KA01,Nema Auto Spares,WKA0155671
KA01,Nema Auto Spares,WKA0132399
KA01,Nema Auto Spares,WKA0171158
KA01,Nema Auto Spares,WKA0112551
KA01,Nema Auto Spares,WKA0114995
KA01,Nema Auto Spares,WKA0138077
KA01,Nema Auto Spares,WKA0130390
KA01,Nema Auto Spares,WKA0136733
KA01,Nema Auto Spares,WKA0155996
KA01,Nema Auto Spares,WKA0168802
KA01,Nema Auto Spares,WKA0121003
KA01,Nema Auto Spares,WKA0156000
KA01,Nema Auto Spares,WKA0152911
KA01,Nema Auto Spares,WKA0152750
KA01,Nema Auto Spares,WKA0114981
KA01,Nema Auto Spares,WKA0160331
KA01,Nema Auto Spares,WKA0157711
KA01,Nema Auto Spares,WKA0156735
KA01,Nema Auto Spares,WKA0158071
KA01,Nema Auto Spares,WKA0110074
KA01,Nema Auto Spares,WKA0114996
KA01,Nema Auto Spares,WKA010144686
KA01,Nema Auto Spares,WKA0130969
KA01,Nema Auto Spares,WKA0115722
KA01,Nema Auto Spares,WKA0114378
KA01,Nema Auto Spares,WKA0137946
KA01,Nema Auto Spares,WKA0154650
KA01,Nema Auto Spares,WKA0155632
KA01,Nema Auto Spares,WKA010136644
KA01,Nema Auto Spares,WKA0157753
KA01,Nema Auto Spares,WKA010138444
KA01,Nema Auto Spares,WKA0155972
KA01,Nema Auto Spares,WKA0123201
KA01,Nema Auto Spares,WKA0115032
KA01,Nema Auto Spares,WKA0120986
KA01,Nema Auto Spares,WKA0155290
KA01,Nema Auto Spares,WKA0115007
KA01,Nema Auto Spares,WKA0119101
KA01,Nema Auto Spares,WKA0166172
KA01,Nema Auto Spares,WKA0121824
KA01,Nema Auto Spares,WKA0122321
KA01,Nema Auto Spares,WKA0155984
KA01,Nema Auto Spares,WKA0172684
KA01,Nema Auto Spares,WKA0121580
KA01,Nema Auto Spares,WKA0134809
KA01,Nema Auto Spares,WKA0122279
KA01,Nema Auto Spares,WKA0143092
KA01,Nema Auto Spares,WKA0199944
KA01,Nema Auto Spares,WKA0130392
KA01,Nema Auto Spares,WKA0112627
KA01,Nema Auto Spares,WKA0162810
KA01,Nema Auto Spares,WKA0184731
KA01,Nema Auto Spares,WKA010146721
KA01,Nema Auto Spares,WKA0106408
KA01,Nema Auto Spares,WKA0115005
KA01,Nema Auto Spares,WKA010153597
KA01,Nema Auto Spares,WKA0160015
KA01,Nema Auto Spares,WKA0122287
KA01,Nema Auto Spares,WKA0139448
KA01,Nema Auto Spares,WKA0120344
KA01,Nema Auto Spares,WKA0114975
KA01,Nema Auto Spares,WKA0168190
KA01,Nema Auto Spares,WKA010144286
KA01,Nema Auto Spares,WKA0114994
KA01,Nema Auto Spares,WKA0107491
KA01,Nema Auto Spares,WKA0117456
KA01,Nema Auto Spares,WKA0112707
KA01,Nema Auto Spares,WKA0181643
KA01,Nema Auto Spares,WKA0123965
KA01,Nema Auto Spares,WKA0146850
KA01,Nema Auto Spares,WKA010135524
KA01,Nema Auto Spares,WKA0130512
KA01,Nema Auto Spares,WKA0128911
KA01,Nema Auto Spares,WKA0132616
KA01,Nema Auto Spares,WKA0164695
KA01,Nema Auto Spares,WKA0115014
KA01,Nema Auto Spares,WKA0114991
KA01,Nema Auto Spares,WKA0114982
KA01,Nema Auto Spares,WKA0128655
KA01,Nema Auto Spares,WKA0118805
